run_id,arch,recipe_actual,variant,condition_id,stage,transform,descriptor,n_images,n_images_with_exceedance,mean_n_shared_exc,mean_n_shared_nonexc,acc_exc,acc_exc_ci_lo,acc_exc_ci_hi,acc_nonexc,acc_nonexc_ci_lo,acc_nonexc_ci_hi,delta_exc_minus_nonexc,delta_ci_lo,delta_ci_hi,chance_exact,endpoint_class
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,native,s12_post_norm,T3,centred_l2,2000,2,0.0035,167.9965,0.9166666667,0.8333333333,1,0.8468110934,0.8431640758,0.8503513179,0.1591446736,0.03086419753,0.2874251497,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T0,l2,2000,2000,14.049,181.951,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T0,centred_l2,2000,2000,14.049,181.951,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T0,l2,2000,2000,9.5685,186.4315,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T0,centred_l2,2000,2000,9.5685,186.4315,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T0,l2,2000,261,1.0355,194.9645,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T0,centred_l2,2000,261,1.0355,194.9645,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T1,l2,2000,2000,14.049,181.951,0.3005763557,0.2929022823,0.3083248862,0.8392720805,0.8364749669,0.8420827144,-0.5386957247,-0.5455731621,-0.5317211495,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T1,centred_l2,2000,2000,14.049,181.951,0.3011965043,0.2935399596,0.3089174879,0.8364188862,0.8335983095,0.8392536063,-0.5352223819,-0.5421885268,-0.5282426739,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T1,l2,2000,2000,9.5685,186.4315,0.2228868792,0.2155610339,0.2301959662,0.8238621314,0.8210727925,0.8266232515,-0.6009752522,-0.6078904169,-0.5939326561,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T1,centred_l2,2000,2000,9.5685,186.4315,0.2196866431,0.2123148644,0.2270690184,0.8252158208,0.8224130735,0.8279810267,-0.6055291777,-0.6126541874,-0.5984614726,0.005102040816,secondary
