scope,run_id,arch,recipe_actual,variant,stage,transform,descriptor,diagnostic,n,spearman_rho,mean_acc_exact,mean_diagnostic,endpoint_class
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T2,centred_l2,count_mad_stage,2000,-0.02490804588,0.8699725275,0.0025,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T3,l2,count_mad_s11,2000,-0.2272193546,0.8478125,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T3,l2,count_mad_stage,2000,-0.2272193546,0.8478125,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T3,centred_l2,count_mad_s11,2000,-0.2253630091,0.8458720238,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s11_out,T3,centred_l2,count_mad_stage,2000,-0.2253630091,0.8458720238,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T3,l2,count_mad_s11,2000,-0.2230420579,0.8280982143,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T3,l2,count_mad_stage,2000,-0.1082582402,0.8280982143,10.638,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T3,centred_l2,count_mad_s11,2000,-0.228646734,0.8282529762,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,hist,T3,centred_l2,count_mad_stage,2000,-0.1150763009,0.8282529762,10.638,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T3,l2,count_mad_s11,2000,-0.2091292576,0.8470714286,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T3,l2,count_mad_stage,2000,-0.03976662744,0.8470714286,0.0045,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T3,centred_l2,count_mad_s11,2000,-0.2156344833,0.8468125,25.397,secondary
within_checkpoint,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,s12_post_norm,T3,centred_l2,count_mad_stage,2000,-0.04041151044,0.8468125,0.0045,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T0,l2,count_mad_s11,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T0,l2,count_mad_stage,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T0,centred_l2,count_mad_s11,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T0,centred_l2,count_mad_stage,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T0,l2,count_mad_s11,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T0,l2,count_mad_stage,2000,MISSING,1,9.5685,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T0,centred_l2,count_mad_s11,2000,MISSING,1,14.049,secondary
