run_id,arch,recipe_actual,variant,provenance_tag,condition_id,stage,transform,descriptor,n_images,n_shared,grid,chance_exact,chance_1,acc_exact_mean,acc_exact_ci_lo,acc_exact_ci_hi,acc_1_mean,acc_1_ci_lo,acc_1_ci_hi,mean_nn_sim,acc_exact_over_chance,endpoint_class
legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8468125,0.8431665923,0.8503513393,0.887297619,0.8842915923,0.8901875744,0.9237557991,165.97525,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999892,196,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999882,196,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999781,196,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999896,196,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999918,196,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999872,196,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8025739796,0.7997422194,0.8053520408,0.8504464286,0.8480612245,0.8528342474,0.9608986515,157.3045,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.7999668367,0.7971146684,0.8027755102,0.8493265306,0.8469260204,0.8516991071,0.9446120295,156.7935,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.7954821429,0.792625,0.7983342474,0.8443418367,0.8419132653,0.8467653061,0.9817677948,155.9145,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.7966530612,0.7937933673,0.7995102679,0.8457602041,0.8433774872,0.8481683673,0.9402766471,156.144,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8051709184,0.8023392857,0.8079336735,0.8527602041,0.8504030612,0.8551147959,0.9619786817,157.8135,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8067576531,0.8039335459,0.8095433673,0.8549107143,0.852571301,0.8572245536,0.9224928433,158.1245,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.8382527473,0.8346179945,0.8418324863,0.8817032967,0.879260783,0.8841649038,0.9739496522,164.2975385,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.8371071429,0.8334532967,0.8406731456,0.881271978,0.8788158654,0.8837033654,0.9628375813,164.073,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.8330961538,0.8294148352,0.8367061813,0.8767637363,0.8742334478,0.8792583104,0.9856459344,163.2868462,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.8341208791,0.8304614698,0.8376703984,0.8780906593,0.8756263736,0.880535783,0.9595992259,163.4876923,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.8400659341,0.8364146978,0.8436402473,0.8832692308,0.8808159341,0.8857307692,0.9710929621,164.6529231,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.8420961538,0.8384834478,0.845626511,0.8855686813,0.8831565934,0.8879835165,0.9488517033,165.0508462,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8105833333,0.8068332589,0.814259003,0.8482857143,0.8450415923,0.8514853423,0.9622510909,158.8743333,secondary
