work_package,split_name,split_sha256,git_sha,generated_by,role,cell,arch,recipe_actual,variant,provenance_tag,run_id,stage,basis,n_images,n_positions,mass,gini_excess,ring0_freq,ring1_freq,ring1_share,peak_ring,eta2_pos,rho_vs_s11_out,p_vs_s11_out,resid_rho_vs_s11_out,baseline_run_id,rho_vs_baseline,p_vs_baseline,resid_rho_vs_baseline,delta_gini_excess,delta_ring1_share,delta_mass,reference,note
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_base|mixup,vit_base,mixup,baseline,legacy-nomixdir,legacy_e2_vit_base_nomixdir_baseline,in_b07,fixed_cal,10000,196,8.0447,0.384614,0.017933,0.08487,0.464194,1,0.033415,0.988536,0.000638,0.989391,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_base|mixup,vit_base,mixup,registers,legacy-nomixdir,legacy_e2_vit_base_nomixdir_registers,in_b07,fixed_cal,10000,196,2.2114,0.090976,0.008683,0.011425,0.227322,6,0.000728,0.161431,0.035077,0.129798,legacy_e2_vit_base_nomixdir_baseline,0.236988,0.074617,-0.014313,-0.293638,-0.236872,-5.8333,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_base|mixup,vit_base,mixup,saga,legacy-nomixdir,legacy_e2_vit_base_nomixdir_saga,in_b07,fixed_cal,10000,196,6.6519,0.38997,0.017025,0.069491,0.459658,1,0.025815,0.995773,0.000638,0.991651,legacy_e2_vit_base_nomixdir_baseline,0.815688,0.001913,0.494547,0.005357,-0.004536,-1.3928,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,baseline,legacy-mixupdir,legacy_e2_vit_small_mixupdir_baseline,in_b07,fixed_cal,10000,196,13.5631,0.280074,0.048733,0.117011,0.379596,1,0.023802,0.99066,0.000638,0.988469,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,registers,legacy-mixupdir,legacy_e2_vit_small_mixupdir_registers,in_b07,fixed_cal,10000,196,1.6169,0.090995,0.009494,0.0077,0.209537,6,0.00068,-0.314221,0.022959,-0.069142,legacy_e2_vit_small_mixupdir_baseline,-0.11112,0.619898,0.222374,-0.189079,-0.170059,-11.9462,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,saga,legacy-mixupdir,legacy_e2_vit_small_mixupdir_saga,in_b07,fixed_cal,10000,196,5.6816,0.365821,0.020117,0.058002,0.449187,1,0.020073,0.994076,0.000638,0.992757,legacy_e2_vit_small_mixupdir_baseline,0.892919,0.001276,0.722571,0.085747,0.069591,-7.8815,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,baseline,legacy-nomixdir,legacy_e2_vit_small_nomixdir_baseline,in_b07,fixed_cal,10000,196,10.3232,0.322869,0.0365,0.09958,0.424432,1,0.025716,0.973451,0.000638,0.972358,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,registers,legacy-nomixdir,legacy_e2_vit_small_nomixdir_registers,in_b07,fixed_cal,10000,196,0.9713,0.090131,0.005033,0.004759,0.215587,6,0.000492,0.074037,0.649235,0.401751,legacy_e2_vit_small_nomixdir_baseline,-0.060578,0.771046,0.196719,-0.232738,-0.208845,-9.3519,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_small|mixup,vit_small,mixup,saga,legacy-nomixdir,legacy_e2_vit_small_nomixdir_saga,in_b07,fixed_cal,10000,196,9.5444,0.354401,0.032892,0.091164,0.420267,1,0.027792,0.991664,0.000638,0.995607,legacy_e2_vit_small_nomixdir_baseline,0.824418,0.001276,0.512751,0.031531,-0.004165,-0.7788,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
I1_spatial,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,reporting,vit_base|mixup,vit_base,mixup,baseline,s1,e2r_vitb_mixup_baseline_s1,in_b07,mad,10000,196,10.2156,0.409551,0.033012,0.111073,0.478406,1,0.044055,0.996133,0.000638,0.991817,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,1.0 = identical arrangement,"residual map correlation; rho_vs_s11_out is the SAME run at the reporting stage, which is what says whether the perturbed coordinates are the address the paper reports"
