work_package,generated_by,git_sha,model_id,timm_name,group,mixing,arch_note,weight_sha256,timm_version,input_size,native_input_size,resolution_deviation,patch_size,grid_side,n_patches,n_prefix,depth,norm_mean,norm_std,crop_pct,split_name,split_sha256,threshold_split_name,threshold_split_sha256,stage,stage_resolved,basis,tau,n_images,count_per_image,p_any,entropy_normalized,entropy_normalized_excess,gini,gini_null,gini_excess,top5_share,top5_share_uniform,top5_share_excess,position_rel_se,eta2_pos,ring0_freq,ring1_freq,ring2_freq,ring3_freq,ring4_freq,ring5_freq,ring6_freq,ring7_freq,ring0_freq_ci_lo,ring0_freq_ci_hi,ring1_freq_ci_lo,ring1_freq_ci_hi,centre_freq,centre_freq_ci_lo,centre_freq_ci_hi,ring1_share,peak_ring,ring_1_peak,ring1_minus_ring0,ring1_minus_ring0_ci_lo,ring1_minus_ring0_ci_hi,prediction_group,prediction_outcome,split_half_rho,split_half_p,split_half_n_transforms,bootstrap_seed,bootstrap_resamples,source,note
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_base_patch16_224,deit3_base_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-B/16,9a6f0f93c19c3f6b05836231b9de6b07cc9eca1b002b30c3b5b0b77411687650,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,fixed_cal,493.160217,10000,31.2565,1.0,0.993402,-0.006548,0.143116,0.012891,0.130225,0.044653,0.02551,0.017796,0.022958,0.013032,0.1311,0.209755,0.175572,0.142418,0.135065,0.136042,0.142,MISSING,0.129673,0.132485,0.207775,0.211661,0.142,0.137775,0.1462,0.295273,1,1,0.078655,0.07647,0.080801,supervised_mixing,met,0.979561,0.000638,1568,0,10000,results\frozen\I6_external\deit3_base_patch16_224\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,deit3_base_patch16_224,deit3_base_patch16_224.fb_in1k,supervised_mixing,yes,DeiT III-B/16,9a6f0f93c19c3f6b05836231b9de6b07cc9eca1b002b30c3b5b0b77411687650,1.0.26,224,224,0,16,14,196,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,mad,MISSING,10000,22.924,0.9147,0.99199,-0.007939,0.161118,0.015431,0.145687,0.047426,0.02551,0.020304,0.027477,0.011433,0.101213,0.159248,0.128178,0.098818,0.09,0.090292,0.0973,MISSING,0.099719,0.102688,0.157168,0.161343,0.0973,0.0939,0.100775,0.305658,1,1,0.058034,0.056102,0.059982,supervised_mixing,met,0.977542,0.000638,1568,0,10000,results\frozen\I6_external\deit3_base_patch16_224\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_base_patch16_224_augreg,vit_base_patch16_224.augreg_in1k,supervised_mixing,yes,"AugReg ViT-B/16, ImageNet-1k only",678a1ce471be7da9822fe2508497a5bcf6da4c6802053151b232ba88a42c21a2,1.0.26,224,224,0,16,14,196,1,12,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,fixed_cal,172.787582,10000,25.1722,1.0,0.969531,-0.030405,0.31141,0.014641,0.296769,0.076001,0.02551,0.048961,0.026051,0.050893,0.052702,0.229411,0.110506,0.123393,0.137305,0.132767,0.141275,MISSING,0.050975,0.054431,0.226759,0.232011,0.141275,0.13595,0.1468,0.401002,1,1,0.176709,0.174529,0.178897,supervised_mixing,met,0.992944,0.000638,1568,0,10000,results\frozen\I6_external\vit_base_patch16_224_augreg\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_base_patch16_224_augreg,vit_base_patch16_224.augreg_in1k,supervised_mixing,yes,"AugReg ViT-B/16, ImageNet-1k only",678a1ce471be7da9822fe2508497a5bcf6da4c6802053151b232ba88a42c21a2,1.0.26,224,224,0,16,14,196,1,12,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,mad,MISSING,10000,13.4579,1.0,0.916879,-0.082993,0.505335,0.02065,0.484685,0.128452,0.02551,0.100773,0.036829,0.084543,0.024423,0.175205,0.047381,0.045914,0.047295,0.032783,0.037075,MISSING,0.023777,0.025081,0.173427,0.176961,0.037075,0.034625,0.039625,0.572823,1,1,0.150781,0.148903,0.152697,supervised_mixing,met,0.990024,0.000638,1568,0,10000,results\frozen\I6_external\vit_base_patch16_224_augreg\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_base_patch16_224_augreg,vit_base_patch16_224.augreg_in1k,supervised_mixing,yes,"AugReg ViT-B/16, ImageNet-1k only",678a1ce471be7da9822fe2508497a5bcf6da4c6802053151b232ba88a42c21a2,1.0.26,224,224,0,16,14,196,1,12,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,fixed_cal,160.849197,10000,29.8012,1.0,0.976297,-0.023651,0.275265,0.013259,0.262007,0.066984,0.02551,0.040089,0.023615,0.046365,0.06916,0.252832,0.134669,0.1513,0.16716,0.163775,0.171825,MISSING,0.066944,0.071385,0.249795,0.25583,0.171825,0.1658,0.17795,0.373294,1,1,0.183672,0.181305,0.186054,supervised_mixing,met,0.993359,0.000638,1568,0,10000,results\frozen\I6_external\vit_base_patch16_224_augreg\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_base_patch16_224_augreg,vit_base_patch16_224.augreg_in1k,supervised_mixing,yes,"AugReg ViT-B/16, ImageNet-1k only",678a1ce471be7da9822fe2508497a5bcf6da4c6802053151b232ba88a42c21a2,1.0.26,224,224,0,16,14,196,1,12,"[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]",0.9,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,mad,MISSING,10000,15.1677,1.0,0.927419,-0.072469,0.475357,0.019362,0.455995,0.11744,0.02551,0.089896,0.034529,0.081319,0.030498,0.189255,0.055139,0.054021,0.05498,0.039875,0.044725,MISSING,0.029761,0.031248,0.187298,0.191209,0.044725,0.04195,0.047525,0.549009,1,1,0.158756,0.15671,0.160854,supervised_mixing,met,0.990587,0.000638,1568,0,10000,results\frozen\I6_external\vit_base_patch16_224_augreg\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_small_patch14_dinov2,vit_small_patch14_dinov2.lvd142m,no_mixing,no,"DINOv2 ViT-S/14, run at 224 (native 518)",04d27f3400d059fc0cfd7d17dd1909a75bf3ea8fb3eeb48b97cb99e57ee20081,1.0.26,224,518,1,14,16,256,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",1.0,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,fixed_cal,25.239407,10000,2.057,0.2553,0.979335,-0.01955,0.270102,0.062529,0.207574,0.041711,0.019531,0.016786,0.111109,0.001818,0.003493,0.006017,0.007841,0.009878,0.011496,0.01326,0.015117,0.01635,0.003102,0.003902,0.005427,0.006625,0.01635,0.014425,0.01825,0.152115,7,0,0.002524,0.002151,0.002903,no_mixing,met,0.926079,0.000488,2048,0,10000,results\frozen\I6_external\vit_small_patch14_dinov2\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_small_patch14_dinov2,vit_small_patch14_dinov2.lvd142m,no_mixing,no,"DINOv2 ViT-S/14, run at 224 (native 518)",04d27f3400d059fc0cfd7d17dd1909a75bf3ea8fb3eeb48b97cb99e57ee20081,1.0.26,224,518,1,14,16,256,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",1.0,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,mad,MISSING,10000,0.9168,0.2217,0.979746,-0.017764,0.263249,0.093228,0.170021,0.05192,0.019531,0.02426,0.166803,0.000891,0.002172,0.002588,0.003155,0.003806,0.004675,0.00583,0.0076,0.00935,0.001963,0.002387,0.002373,0.002812,0.00935,0.008,0.0108,0.146815,7,0,0.000417,0.000203,0.000627,no_mixing,met,0.745569,0.000488,2048,0,10000,results\frozen\I6_external\vit_small_patch14_dinov2\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_small_patch14_dinov2,vit_small_patch14_dinov2.lvd142m,no_mixing,no,"DINOv2 ViT-S/14, run at 224 (native 518)",04d27f3400d059fc0cfd7d17dd1909a75bf3ea8fb3eeb48b97cb99e57ee20081,1.0.26,224,518,1,14,16,256,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",1.0,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,fixed_cal,9.386888,10000,3.0241,0.8291,0.940186,-0.059061,0.395249,0.051387,0.343861,0.132172,0.019531,0.108255,0.091462,0.014613,0.0127,0.010258,0.018716,0.007772,0.009204,0.009325,0.01125,0.01155,0.012278,0.013133,0.009904,0.01061,0.01155,0.01025,0.0129,0.176383,2,0,-0.002442,-0.002892,-0.00199,no_mixing,met,0.898165,0.000488,2048,0,10000,results\frozen\I6_external\vit_small_patch14_dinov2\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_small_patch14_dinov2,vit_small_patch14_dinov2.lvd142m,no_mixing,no,"DINOv2 ViT-S/14, run at 224 (native 518)",04d27f3400d059fc0cfd7d17dd1909a75bf3ea8fb3eeb48b97cb99e57ee20081,1.0.26,224,518,1,14,16,256,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",1.0,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_s11_out,s11_out,mad,MISSING,10000,2.7749,0.8256,0.930449,-0.06873,0.424248,0.053686,0.370562,0.141266,0.019531,0.117138,0.095528,0.016013,0.012788,0.009638,0.017748,0.006344,0.007586,0.006985,0.0091,0.00895,0.012403,0.013182,0.009319,0.00995,0.00895,0.00785,0.0101,0.180619,2,0,-0.00315,-0.003616,-0.002699,no_mixing,met,0.888361,0.000488,2048,0,10000,results\frozen\I6_external\vit_small_patch14_dinov2\maps_ext_s11_out.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
I6_external,analysis/frozen_I6_external.py,202a712d9392527cbf2fe99525a42a1d45d01aca,vit_base_patch14_dinov2,vit_base_patch14_dinov2.lvd142m,no_mixing,no,"DINOv2 ViT-B/14, run at 224 (native 518)",55cbb5d887b336d430e649c277b85a1429e724871f9d02ac16203235886d8c7b,1.0.26,224,518,1,14,16,256,1,12,"[0.485, 0.456, 0.406]","[0.229, 0.224, 0.225]",1.0,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,ext_hist,s12_pre_norm,fixed_cal,69.034939,10000,4.3346,0.9977,0.934118,-0.065359,0.416409,0.042827,0.373582,0.14818,0.019531,0.125019,0.076197,0.023391,0.017655,0.012633,0.024957,0.012694,0.016711,0.01478,0.019525,0.016375,0.01714,0.018168,0.012044,0.013221,0.016375,0.014475,0.0183,0.151548,2,0,-0.005022,-0.005504,-0.004522,no_mixing,met,0.956607,0.000488,2048,0,10000,results\frozen\I6_external\vit_base_patch14_dinov2\maps_ext_hist.npz,outcome computed by saga.frozen.external.prediction_outcome from the rule registered in configs/frozen/I6_models.yaml; nothing pooled across models or groups
