run_id,arch,recipe_actual,scope,stage,condition_id,layer,diagnostic,n_images,mean_original,mean_condition,mean_delta,ci_lo,ci_hi,excludes_zero,tau_cal_value,bootstrap_resamples,bootstrap_seed,split_sha256,ckpt_sha256,git_sha
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L7,7,count_fixed_cal,10000,4.3881,4.3881,0,0,0,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L7,7,count_mad,10000,19.8677,19.8748,0.0071,-0.0039,0.0176,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L7,7,cos_all,10000,0.360540735,0.3606145495,7.381450981e-05,7.083463833e-05,7.687302347e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L7,7,cos_nosink_mad,10000,0.3886026781,0.388682176,7.949784398e-05,6.324180767e-05,9.545940395e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L7,7,eff_rank,10000,80.7910307,80.78758152,-0.003449179268,-0.00370614161,-0.003191578789,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L8,8,count_fixed_cal,10000,4.3881,4.3881,0,0,0,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L8,8,count_mad,10000,19.8677,19.8626,-0.0051,-0.0138,0.0037,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L8,8,cos_all,10000,0.360540735,0.3605810933,4.035831094e-05,3.844375882e-05,4.231196065e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L8,8,cos_nosink_mad,10000,0.3886026781,0.3886400871,3.740894645e-05,2.437104441e-05,5.048874237e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,exploratory,s11_out,mean_L8,8,eff_rank,10000,80.7910307,80.78669837,-0.004332328033,-0.00445191288,-0.004214635191,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
