run_id,arch,recipe_actual,variant,scope,split_name,split_sha256,permutations_sha256,condition_id,family,layer,index,n_images,mean_delta_nll,ci_lo,ci_hi,excludes_zero,delta_top1_points,frac_delta_nll_positive,mean_delta_update_norm,median_delta_update_norm,max_abs_logit_diff_vs_native,bit_identical_to_original,bootstrap_resamples,bootstrap_seed,ckpt_sha256,git_sha
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,dihedral5_L7,dihedral,7,5,10000,0.0003734634146,-8.017327389e-05,0.0008256774229,0,-0.07,0.5057,5.850728255,5.737610102,0.4882416725,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,dihedral5_L8,dihedral,8,5,10000,-0.0001026199516,-0.0001983446705,-5.519551001e-06,1,-0.01,0.4985,1.774373937,1.751489162,0.1383037567,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,dihedral6_L7,dihedral,7,6,10000,0.0004483042918,0.0001528123392,0.0007485292035,1,-0.07,0.508,4.411338117,4.319906473,0.3165612221,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,dihedral6_L8,dihedral,8,6,10000,-2.834529467e-05,-0.0001085464735,5.204014754e-05,0,-0.02,0.4897,1.654919578,1.63261193,0.1025986671,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,dihedral7_L7,dihedral,7,7,10000,3.184303641e-07,-0.0002906538173,0.0002903409119,0,-0.02,0.4998,4.392766349,4.308761835,0.2989251614,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,dihedral7_L8,dihedral,8,7,10000,3.8793597e-05,-3.847520598e-05,0.0001181998872,0,0,0.4948,1.631270904,1.608363509,0.1265363693,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,mean_L7,mean,7,0,10000,0.0001146317165,-0.0001246744827,0.0003448818885,0,-0.02,0.4899,3.129533161,3.074496627,0.2506375313,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,mean_L8,mean,8,0,10000,-8.908579051e-05,-0.0001794356352,1.760545848e-06,0,0.01,0.453,1.587353075,1.544932485,0.08540058136,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,mean_half_L7,mean_half,7,0,10000,4.777315594e-05,-7.168306932e-05,0.0001629982422,0,0.01,0.4891,1.564766557,1.537248433,0.1259813309,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,mean_half_L8,mean_half,8,0,10000,-4.625609145e-05,-9.151501155e-05,-7.604852878e-07,1,0,0.4523,0.7936764986,0.7724662423,0.04302549362,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
