run_id,arch,recipe_actual,variant,scope,split_name,split_sha256,masks_sha256,condition_id,role,layer,epsilon,control_kind,control_index,mask_id,n_masked_coords,n_images,theta_nats,ci_lo,ci_hi,excludes_zero,delta_top1_points,frac_theta_positive,mean_injected_norm,mean_energy_rel_error,max_energy_rel_error,energy_within_tolerance,n_zero_norm_images,max_abs_logit_diff_vs_native,bootstrap_resamples,bootstrap_seed,ckpt_sha256,git_sha
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl1_e25m_L7,control,7,25,energy_matched,1,K1_L7,16,10000,-0.0003397787089,-0.0006883698187,8.625748167e-06,0,0,0.4003,3.701862891,2.834962587e-08,1.982498503e-07,1,0,0.4296969175,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl1_e25m_L8,control,8,25,energy_matched,1,K1_L8,16,10000,-0.0001839804271,-0.0004630540587,9.720470734e-05,0,0.02,0.4152,3.55139182,2.658749747e-08,2.129362612e-07,1,0,0.4324197769,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl2_e10f_L7,control,7,10,fixed_epsilon,2,K2_L7,16,10000,2.891606279e-05,-0.0001103369653,0.0001678927905,0,-0.01,0.4035,1.483419319,MISSING,MISSING,MISSING,0,0.3566994667,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl2_e10f_L8,control,8,10,fixed_epsilon,2,K2_L8,16,10000,-2.036120733e-05,-0.0001367218578,0.0001003029993,0,-0.02,0.4077,1.44135128,MISSING,MISSING,MISSING,0,0.1918401718,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl2_e10m_L7,control,7,10,energy_matched,2,K2_L7,16,10000,2.662140662e-05,-0.000111174141,0.0001648519277,0,-0.01,0.4037,1.480745183,2.342275352e-08,1.700878419e-07,1,0,0.3545837402,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl2_e10m_L8,control,8,10,energy_matched,2,K2_L8,16,10000,-2.509371741e-05,-0.0001395828863,9.168271239e-05,0,-0.02,0.4076,1.420556753,2.394467866e-08,1.919870186e-07,1,0,0.1823029518,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl2_e25m_L7,control,7,25,energy_matched,2,K2_L7,16,10000,0.0001209183685,-0.0002279274756,0.0004694677156,0,0.01,0.4034,3.701862892,2.872176385e-08,2.070276573e-07,1,0,0.8962779045,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl2_e25m_L8,control,8,25,energy_matched,2,K2_L8,16,10000,-1.588892825e-05,-0.0003018996749,0.0002772729399,0,-0.03,0.4102,3.55139182,2.785024563e-08,1.678002694e-07,1,0,0.4990224838,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl3_e10f_L7,control,7,10,fixed_epsilon,3,K3_L7,16,10000,-8.840522207e-05,-0.0002226246621,4.354402194e-05,0,-0.02,0.3977,1.473715927,MISSING,MISSING,MISSING,0,0.2359108925,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl3_e10f_L8,control,8,10,fixed_epsilon,3,K3_L8,16,10000,-9.963530395e-05,-0.0002087323501,9.304522239e-06,0,-0.01,0.415,1.43851731,MISSING,MISSING,MISSING,0,0.3002319336,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
