work_package,split_name,split_sha256,git_sha,run_id,arch,recipe_actual,variant,provenance_tag,ckpt_sha256,condition_id,stage,n_images,norm_p50,norm_p90,norm_p99,norm_p999,norm_max,mad_thr,count_fixed_canon,count_fixed_cal,count_mad,cos_all,cos_nosink_mad,eff_rank
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,native,s12_post_norm,2000,15.28335369,16.01801575,16.25729762,16.33275107,16.3432439,18.30034202,MISSING,135.288,0.007,0.2205002043,0.2205186385,129.5023775
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.25,hist,2000,31.59357014,47.60467804,298.6689437,530.9227893,557.4701837,48.26784105,4.1565,4.15,19.1685,0.3291947741,0.3470142304,81.5718475
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.25,s12_post_norm,2000,15.44540758,16.03789881,16.26415846,16.33859113,16.3488775,17.87114295,MISSING,143.2215,0,0.2291392624,0.2291392556,129.3736759
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.50,hist,2000,31.68648388,48.38187899,302.1207639,534.14191,560.6702946,49.54769798,4.201,4.193,18.708,0.3247512101,0.3391458941,81.2125364
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.50,s12_post_norm,2000,15.28335369,16.01801575,16.25729762,16.33275107,16.3432439,18.30034202,MISSING,135.288,0.007,0.2205002043,0.2205186385,129.5023775
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.75,hist,2000,32.35010092,50.56370566,305.6480199,537.3933946,563.9008102,51.98682344,4.251,4.243,18.771,0.3298609904,0.3431375391,80.38061168
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.75,s12_post_norm,2000,15.07641633,16.03565912,16.29287437,16.3696143,16.38007952,19.00031555,MISSING,122.2495,0.0055,0.2250801656,0.2250940298,128.6828652
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_1.00,hist,2000,33.5031997,53.80077312,309.2390313,540.6765203,567.1611678,55.52195662,4.3015,4.295,18.859,0.3419770652,0.3558799917,79.18674336
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_1.00,s12_post_norm,2000,14.86830112,16.07527802,16.3516326,16.42633634,16.43645219,19.77471832,MISSING,110.0435,0.004,0.2405852637,0.2405950525,127.0784108
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,native,hist,2000,34.48031178,49.11376816,363.8274608,535.7128737,554.0401144,52.83504037,4.915,4.9085,15.182,0.3018091601,0.3199974983,80.04687493
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,native,s11_out,2000,33.39777675,43.38995333,347.3771216,519.6292082,538.0407662,48.6152643,MISSING,5.1095,12.0945,0.3442961027,0.3705560991,79.6535595
