epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
0,5.091e-05,6.7897,2.794,9.114,6.2605,5041.4,254.1
1,0.00010086,6.5004,5.968,16.826,5.7348,5325.8,240.5
2,0.00015081,6.3412,9.006,22.624,5.3557,5189.2,246.9
3,0.00020076,6.211,12.438,28.95,5.0225,5485.8,233.5
4,0.00025071,6.0752,16.428,35.964,4.6158,5456.1,234.8
5,0.00030066,5.8935,20.918,42.642,4.2306,5499.7,232.9
6,0.00035061,5.7141,26.364,49.57,3.8624,5516.8,232.2
7,0.00040056,5.5462,31.428,55.852,3.4885,5496.6,233.1
8,0.00045051,5.4109,34.786,59.74,3.2779,5475.9,233.9
9,0.00050046,5.2749,37.606,62.794,3.0797,5452.9,234.9
10,0.00055041,5.1868,39.25,64.778,2.9837,5474.3,234.0
11,0.00060036,5.1079,42.53,67.722,2.7923,5409.9,236.8
12,0.00065031,5.0103,44.058,69.418,2.6988,5466.8,234.3
13,0.00070026,4.9143,45.822,71.448,2.5723,5450.7,235.0
14,0.00075021,4.8583,47.878,73.184,2.498,5474.6,234.0
15,0.00080016,4.7996,48.992,74.314,2.4177,5460.4,234.6
16,0.00085011,4.7514,50.38,75.14,2.3207,5447.3,235.2
17,0.00090006,4.6964,51.452,76.19,2.2565,5475.5,234.0
18,0.00095001,4.6287,52.39,77.206,2.2125,5432.7,235.8
19,0.00099996,4.613,52.79,77.692,2.1853,5437.2,235.6
20,0.00089519,4.4823,55.258,79.192,2.0612,5430.3,235.9
21,0.00088538,4.4728,56.16,80.208,2.0147,5485.1,233.5
22,0.00087519,4.4057,57.312,81.024,1.9737,5469.6,234.2
23,0.00086463,4.3565,58.228,81.558,1.919,5428.6,236.0
24,0.00085371,4.3419,59.096,82.46,1.8659,5420.0,236.4
25,0.00084244,4.292,59.978,82.816,1.8315,5446.3,235.2
26,0.00083083,4.2526,60.41,83.09,1.8189,5433.6,235.8
27,0.0008189,4.1992,60.826,83.612,1.7822,5468.5,234.3
28,0.00080666,4.1573,62.112,84.47,1.7115,5475.1,234.0
29,0.00079411,4.1252,62.25,84.536,1.7255,5454.5,234.9
30,0.00078127,4.0904,62.872,85.012,1.7,5466.7,234.3
31,0.00076816,4.0789,63.22,85.22,1.6578,5492.1,233.2
32,0.00075478,4.0502,63.956,85.854,1.6383,5418.0,236.4
