n_neurons,n_images,num_prefix_tokens,top1,top5,sink_fixed_canon,sink_mad_k5,oversmooth_pairwise,sink_reduction_frac,top1_drop,meets_sink,meets_top1,passes,n_layers_touched,layers_touched
0,5000,1,79.14,94.36,19.7064,18.2568,0.47278879537582397,,0.0,,,,0,
8,5000,2,78.86,94.02,15.2944,14.133,0.46796536903381347,0.22388665611172,0.28000000000000114,False,True,False,4,"4,5,6,8"
10,5000,2,78.72,94.26,9.6428,10.985,0.4510462284088135,0.5106767344619006,0.4200000000000017,True,True,True,5,"4,5,6,7,8"
12,5000,2,78.64,94.24,9.9066,10.8192,0.45017430362701416,0.4972902204360005,0.5,False,True,False,6,"4,5,6,7,8,10"
16,5000,2,78.6,94.22,4.4524,6.5132,0.445239471578598,0.7740632484878008,0.5400000000000063,True,True,True,6,"4,5,6,7,8,10"
24,5000,2,78.72,94.22,1.8994,3.4754,0.44922167863845824,0.9036150692160922,0.4200000000000017,True,True,True,7,"3,4,5,6,7,8,10"
