epoch,lr,train_loss,val_top1
0,1e-05,4.4111,32.833
1,9.997557473810373e-06,3.0035,59.167
2,9.990232305719946e-06,2.4379,69.833
3,9.978031724785247e-06,2.1311,76.167
4,9.960967771506668e-06,1.9343,79.667
5,9.939057285945934e-06,1.7939,81.667
6,9.912321891107011e-06,1.6798,82.167
7,9.8807879715968e-06,1.6248,82.833
8,9.844486647586724e-06,1.5355,83.667
9,9.80345374410087e-06,1.5071,82.833
10,9.757729755661012e-06,1.4618,82.167
11,9.707359806323418e-06,1.4345,81.667
12,9.652393605146846e-06,1.4019,81.667
13,9.592885397135709e-06,1.3616,81.5
14,9.5288939097068e-06,1.3558,82.667
15,9.460482294732423e-06,1.3343,82.167
16,9.387718066217127e-06,1.3165,82.667
17,9.310673033669524e-06,1.2919,82.5
18,9.229423231234978e-06,1.2779,81.667
19,9.144048842659085e-06,1.2765,82.167
20,9.054634122155994e-06,1.283,83.5
21,8.961267311259671e-06,1.2438,82.833
22,8.864040551740162e-06,1.2585,81.333
23,8.76304979467078e-06,1.23,81.833
24,8.658394705735992e-06,1.2199,81.833
25,8.550178566873415e-06,1.2124,81.833
26,8.438508174347015e-06,1.207,80.167
27,8.323493733352083e-06,1.1995,82.0
28,8.205248749256021e-06,1.1985,79.833
29,8.083889915582242e-06,1.1809,81.333
30,7.95953699884775e-06,1.1901,81.0
31,7.832312720368054e-06,1.1899,80.5
32,7.70234263514604e-06,1.1763,80.5
33,7.569755007964345e-06,1.1566,81.5
34,7.434680686803498e-06,1.1489,81.333
35,7.297252973710764e-06,1.1514,81.0
36,7.157607493247117e-06,1.1438,80.333
37,7.01588205864217e-06,1.1709,80.833
38,6.872216535789163e-06,1.1519,81.667
39,6.726752705214199e-06,1.1399,80.0
40,6.579634122155996e-06,1.1313,80.833
41,6.431005974894191e-06,1.1403,81.167
42,6.281014941466035e-06,1.1378,79.0
43,6.129809044912891e-06,1.1218,80.167
44,5.977537507199342e-06,1.1224,80.0
45,5.824350601949147e-06,1.122,79.667
46,5.670399506143312e-06,1.1282,81.0
47,5.5158361509266505e-06,1.1038,79.833
48,5.3608130716701065e-06,1.1017,80.333
49,5.20548325743674e-06,1.0967,80.667
50,5.050000000000004e-06,1.121,79.5
51,4.894516742563269e-06,1.1022,80.333
52,4.739186928329903e-06,1.1132,81.333
53,4.584163849073358e-06,1.1035,79.833
54,4.4296004938566975e-06,1.0979,80.5
55,4.27564939805086e-06,1.0996,80.333
56,4.122462492800666e-06,1.0945,81.5
57,3.970190955087119e-06,1.0851,81.0
58,3.818985058533972e-06,1.0739,80.167
59,3.668994025105819e-06,1.081,80.5
60,3.520365877844015e-06,1.0977,79.833
61,3.373247294785811e-06,1.082,80.333
62,3.2277834642108485e-06,1.0931,80.667
63,3.084117941357838e-06,1.0716,80.5
64,2.9423925067528926e-06,1.0783,80.667
65,2.8027470262892456e-06,1.0748,80.667
66,2.6653193131965106e-06,1.0741,81.667
67,2.530244992035664e-06,1.0761,80.5
68,2.3976573648539675e-06,1.0712,80.5
69,2.2676872796319552e-06,1.0733,81.0
70,2.1404630011522605e-06,1.0758,81.167
71,2.016110084417768e-06,1.0801,80.667
72,1.8947512507439876e-06,1.0637,80.167
73,1.776506266647926e-06,1.0602,81.0
74,1.6614918256529925e-06,1.0585,81.0
75,1.5498214331265917e-06,1.0621,81.167
76,1.4416052942640153e-06,1.0708,80.833
77,1.3369502053292262e-06,1.0565,81.5
78,1.2359594482598451e-06,1.0771,80.667
79,1.1387326887403337e-06,1.0539,81.0
80,1.045365877844012e-06,1.0618,81.0
81,9.559511573409206e-07,1.0482,80.833
82,8.705767687650274e-07,1.0593,80.667
83,7.893269663304793e-07,1.0539,81.0
84,7.122819337828761e-07,1.059,81.0
85,6.395177052675802e-07,1.0656,80.167
86,5.711060902932049e-07,1.0503,80.667
87,5.071146028642951e-07,1.0512,81.167
88,4.476063948531563e-07,1.0523,81.167
89,3.926401936765844e-07,1.0583,80.833
90,3.4227024433899036e-07,1.0502,80.833
91,2.9654625589913263e-07,1.0591,81.0
92,2.5551335241327693e-07,1.0585,80.667
93,2.192120284032009e-07,1.0471,81.0
94,1.8767810889299096e-07,1.0491,81.0
95,1.6094271405406866e-07,1.064,81.167
96,1.390322284933351e-07,1.0519,80.833
97,1.2196827521475405e-07,1.0532,81.0
98,1.097676942800558e-07,1.0566,81.167
99,1.0244252618962858e-07,1.0579,81.167
