run_id,group,image_id,metric,value
e2r_vitb_mixup_baseline_s1,random200,n01443537/ILSVRC2012_val_00012880_n01443537,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01484850/ILSVRC2012_val_00016168_n01484850,attn_entropy_bits,4.314968489
e2r_vitb_mixup_baseline_s1,random200,n01484850/ILSVRC2012_val_00016168_n01484850,ring1_mass,0.5001854585
e2r_vitb_mixup_baseline_s1,random200,n01484850/ILSVRC2012_val_00016168_n01484850,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01496331/ILSVRC2012_val_00005432_n01496331,attn_entropy_bits,4.946610761
e2r_vitb_mixup_baseline_s1,random200,n01496331/ILSVRC2012_val_00005432_n01496331,ring1_mass,0.6524594527
e2r_vitb_mixup_baseline_s1,random200,n01496331/ILSVRC2012_val_00005432_n01496331,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01514859/ILSVRC2012_val_00042568_n01514859,attn_entropy_bits,4.097968562
e2r_vitb_mixup_baseline_s1,random200,n01514859/ILSVRC2012_val_00042568_n01514859,ring1_mass,0.3962846822
e2r_vitb_mixup_baseline_s1,random200,n01514859/ILSVRC2012_val_00042568_n01514859,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01530575/ILSVRC2012_val_00004006_n01530575,attn_entropy_bits,4.588357428
e2r_vitb_mixup_baseline_s1,random200,n01530575/ILSVRC2012_val_00004006_n01530575,ring1_mass,0.2592942837
e2r_vitb_mixup_baseline_s1,random200,n01530575/ILSVRC2012_val_00004006_n01530575,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01616318/ILSVRC2012_val_00045589_n01616318,attn_entropy_bits,4.644594111
e2r_vitb_mixup_baseline_s1,random200,n01616318/ILSVRC2012_val_00045589_n01616318,ring1_mass,0.4361808638
e2r_vitb_mixup_baseline_s1,random200,n01616318/ILSVRC2012_val_00045589_n01616318,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01622779/ILSVRC2012_val_00032875_n01622779,attn_entropy_bits,4.989788488
e2r_vitb_mixup_baseline_s1,random200,n01622779/ILSVRC2012_val_00032875_n01622779,ring1_mass,0.2914513602
e2r_vitb_mixup_baseline_s1,random200,n01622779/ILSVRC2012_val_00032875_n01622779,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01629819/ILSVRC2012_val_00048463_n01629819,attn_entropy_bits,5.437303984
e2r_vitb_mixup_baseline_s1,random200,n01629819/ILSVRC2012_val_00048463_n01629819,ring1_mass,0.3119655807
e2r_vitb_mixup_baseline_s1,random200,n01629819/ILSVRC2012_val_00048463_n01629819,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01641577/ILSVRC2012_val_00030342_n01641577,attn_entropy_bits,4.752038239
e2r_vitb_mixup_baseline_s1,random200,n01641577/ILSVRC2012_val_00030342_n01641577,ring1_mass,0.2228031688
e2r_vitb_mixup_baseline_s1,random200,n01641577/ILSVRC2012_val_00030342_n01641577,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01665541/ILSVRC2012_val_00000938_n01665541,attn_entropy_bits,5.329608786
e2r_vitb_mixup_baseline_s1,random200,n01665541/ILSVRC2012_val_00000938_n01665541,ring1_mass,0.3807966046
e2r_vitb_mixup_baseline_s1,random200,n01665541/ILSVRC2012_val_00000938_n01665541,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01667778/ILSVRC2012_val_00031774_n01667778,attn_entropy_bits,5.403419153
e2r_vitb_mixup_baseline_s1,random200,n01667778/ILSVRC2012_val_00031774_n01667778,ring1_mass,0.3933413816
