arch,recipe,variant,block,cls_norm_ratio,cls_attn_share,ckpt_sha256
vit_base,nomix,baseline,0,0.8769864410400391,0.2969727294921875,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,1,1.0202580635070801,0.11301182878017425,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,2,1.0022648170471191,0.06658532311916351,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,3,0.8886808765411377,0.10311975779533386,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,4,0.6710172067642212,0.048069877189397814,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,5,0.5882758749008179,0.02540766491293907,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,6,0.5267940135955811,0.020501866152882575,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,7,0.5212692650794983,0.017619842690229415,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,8,0.5221119659423828,0.023455688685178756,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,9,0.48718897843360903,0.04586098462343216,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,10,0.6860950699806213,0.14491245923042298,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,baseline,11,0.738845538520813,0.243720325422287,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5
vit_base,nomix,registers,0,0.7478644578933716,0.031108018144965173,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
