recipe,epoch,iter,layer,grad_phi_norm
mixup,0,1100,0,5.978904300718568e-05
mixup,0,1100,1,3.3769978472264484e-05
mixup,0,1100,2,2.2187163267517462e-05
mixup,0,1100,3,1.0766130799311213e-05
mixup,0,1100,4,9.775487342267297e-06
mixup,0,1100,5,6.407276032405207e-06
mixup,0,1100,6,3.1211784516926855e-06
mixup,0,1100,7,2.9287405141076306e-06
mixup,0,1100,8,2.5023216494446388e-06
mixup,0,1100,9,1.487022473156685e-06
mixup,0,1100,10,1.6716368236302515e-06
mixup,0,1100,11,0.0
mixup,0,1200,0,7.15140558895655e-05
mixup,0,1200,1,2.6260040613124147e-05
mixup,0,1200,2,1.0604264389257878e-05
mixup,0,1200,3,6.506997124233749e-06
mixup,0,1200,4,4.337224709161092e-06
mixup,0,1200,5,5.003482783649815e-06
mixup,0,1200,6,4.4312782847555354e-06
mixup,0,1200,7,3.320797077321913e-06
mixup,0,1200,8,1.0945591384370346e-06
mixup,0,1200,9,9.769854614205542e-07
mixup,0,1200,10,7.986594141584646e-07
mixup,0,1200,11,0.0
mixup,1,0,0,7.285997708095238e-05
mixup,1,0,1,2.8804566682083532e-05
mixup,1,0,2,2.5762530640349723e-05
mixup,1,0,3,1.8573866327642463e-05
mixup,1,0,4,9.257884812541306e-06
mixup,1,0,5,8.386528861592524e-06
mixup,1,0,6,4.2919609768432565e-06
mixup,1,0,7,3.168011062371079e-06
mixup,1,0,8,2.1370165086409543e-06
mixup,1,0,9,1.7544787169754272e-06
mixup,1,0,10,1.4971698192312033e-06
mixup,1,0,11,0.0
mixup,1,100,0,6.79677032167092e-05
mixup,1,100,1,2.5813047614065e-05
mixup,1,100,2,2.762901749520097e-05
mixup,1,100,3,1.3763840797764715e-05
mixup,1,100,4,5.672486622643191e-06
mixup,1,100,5,3.3164922115247464e-06
mixup,1,100,6,2.9539112347265473e-06
mixup,1,100,7,2.544783001212636e-06
mixup,1,100,8,1.2964281950189616e-06
mixup,1,100,9,2.063026158793946e-06
mixup,1,100,10,7.620387236784154e-07
mixup,1,100,11,0.0
mixup,1,200,0,8.01634814706631e-05
mixup,1,200,1,3.470929368631914e-05
mixup,1,200,2,3.084875788772479e-05
mixup,1,200,3,1.3052945178060327e-05
mixup,1,200,4,4.760781848744955e-06
mixup,1,200,5,3.6935148273187224e-06
mixup,1,200,6,2.6530851755524054e-06
mixup,1,200,7,2.2495107714348705e-06
mixup,1,200,8,2.038508455370902e-06
mixup,1,200,9,1.312986228185764e-06
mixup,1,200,10,7.438402462867089e-07
mixup,1,200,11,0.0
mixup,1,300,0,0.00011685997014865279
mixup,1,300,1,2.8524018489406444e-05
mixup,1,300,2,1.780448656063527e-05
mixup,1,300,3,7.115044354577549e-06
mixup,1,300,4,7.141023615986342e-06
mixup,1,300,5,2.6755947146739345e-06
mixup,1,300,6,2.833530288626207e-06
mixup,1,300,7,4.094741598237306e-06
