n_neurons,n_images,num_prefix_tokens,top1,top5,sink_fixed_canon,sink_mad_k5,oversmooth_pairwise,sink_reduction_frac,top1_drop,meets_sink,meets_top1,passes,n_layers_touched,layers_touched
0,5000,1,79.14,94.36,19.7064,18.2568,0.47278879537582397,,0.0,,,,0,
4,5000,2,78.8,94.08,20.3298,18.1154,0.4752782075881958,-0.03163439288758983,0.3400000000000034,False,True,False,3,"4,5,6"
8,5000,2,78.86,94.02,15.2944,14.133,0.46796536903381347,0.22388665611172,0.28000000000000114,False,True,False,4,"4,5,6,8"
16,5000,2,76.24,92.44,4.1762,4.891,0.43704290323257444,0.7880789997158284,2.9000000000000057,True,False,False,7,"0,4,5,6,7,8,10"
32,5000,2,74.92,90.78,1.4766,2.3582,0.43159872522354126,0.9250700280112044,4.219999999999999,True,False,False,9,"0,3,4,5,6,7,8,9,10"
64,5000,2,74.2,90.46,2.2374,3.9454,0.48852614164352415,0.8864632809645597,4.939999999999998,True,False,False,11,"0,1,3,4,5,6,7,8,9,10,11"
