epoch,lr,train_loss,val_top1
0,1e-05,4.0949,19.143
1,9.997557473810373e-06,3.2857,40.429
2,9.990232305719946e-06,2.7788,49.0
3,9.978031724785247e-06,2.4636,53.143
4,9.960967771506668e-06,2.2492,58.429
5,9.939057285945934e-06,2.0754,61.0
6,9.912321891107011e-06,1.966,65.286
7,9.8807879715968e-06,1.8735,64.571
8,9.844486647586724e-06,1.7866,67.143
9,9.80345374410087e-06,1.7289,68.0
10,9.757729755661012e-06,1.6606,67.143
11,9.707359806323418e-06,1.6229,68.429
12,9.652393605146846e-06,1.5981,69.571
13,9.592885397135709e-06,1.537,70.143
14,9.5288939097068e-06,1.4905,70.286
15,9.460482294732423e-06,1.4936,71.0
16,9.387718066217127e-06,1.4452,71.429
17,9.310673033669524e-06,1.4236,71.429
18,9.229423231234978e-06,1.4153,70.857
19,9.144048842659085e-06,1.3687,72.429
20,9.054634122155994e-06,1.3751,73.571
21,8.961267311259671e-06,1.3443,73.286
22,8.864040551740162e-06,1.3173,72.429
23,8.76304979467078e-06,1.3115,72.571
24,8.658394705735992e-06,1.3157,72.857
25,8.550178566873415e-06,1.2881,71.571
26,8.438508174347015e-06,1.2645,72.857
27,8.323493733352083e-06,1.2569,72.0
28,8.205248749256021e-06,1.2534,72.571
29,8.083889915582242e-06,1.2205,73.571
30,7.95953699884775e-06,1.2471,72.429
31,7.832312720368054e-06,1.2268,73.429
32,7.70234263514604e-06,1.2149,72.143
33,7.569755007964345e-06,1.2171,73.429
34,7.434680686803498e-06,1.1877,72.143
35,7.297252973710764e-06,1.196,72.571
36,7.157607493247117e-06,1.1896,72.714
37,7.01588205864217e-06,1.1828,74.429
38,6.872216535789163e-06,1.1682,74.429
39,6.726752705214199e-06,1.1753,74.143
40,6.579634122155996e-06,1.1581,72.857
41,6.431005974894191e-06,1.1622,73.0
42,6.281014941466035e-06,1.1592,72.714
43,6.129809044912891e-06,1.1535,72.429
44,5.977537507199342e-06,1.135,73.714
45,5.824350601949147e-06,1.138,73.0
46,5.670399506143312e-06,1.1447,73.286
47,5.5158361509266505e-06,1.1199,73.714
48,5.3608130716701065e-06,1.1299,74.714
49,5.20548325743674e-06,1.1007,74.0
50,5.050000000000004e-06,1.1252,74.429
51,4.894516742563269e-06,1.0924,73.714
52,4.739186928329903e-06,1.1147,74.571
53,4.584163849073358e-06,1.0978,73.429
54,4.4296004938566975e-06,1.086,72.857
55,4.27564939805086e-06,1.0974,74.286
56,4.122462492800666e-06,1.0917,74.0
57,3.970190955087119e-06,1.1003,74.429
58,3.818985058533972e-06,1.0812,75.286
59,3.668994025105819e-06,1.0751,74.286
60,3.520365877844015e-06,1.0697,74.143
61,3.373247294785811e-06,1.0743,74.429
62,3.2277834642108485e-06,1.0713,74.143
63,3.084117941357838e-06,1.0673,73.571
64,2.9423925067528926e-06,1.0671,74.143
65,2.8027470262892456e-06,1.0678,74.714
66,2.6653193131965106e-06,1.063,74.429
67,2.530244992035664e-06,1.0669,74.143
68,2.3976573648539675e-06,1.066,75.143
69,2.2676872796319552e-06,1.058,73.571
70,2.1404630011522605e-06,1.0662,75.286
71,2.016110084417768e-06,1.0586,73.857
72,1.8947512507439876e-06,1.0641,74.857
73,1.776506266647926e-06,1.0656,74.429
74,1.6614918256529925e-06,1.0475,74.714
75,1.5498214331265917e-06,1.048,74.571
76,1.4416052942640153e-06,1.0521,74.286
77,1.3369502053292262e-06,1.0552,75.143
78,1.2359594482598451e-06,1.0575,74.286
79,1.1387326887403337e-06,1.0346,75.0
80,1.045365877844012e-06,1.0529,74.714
81,9.559511573409206e-07,1.0417,74.571
82,8.705767687650274e-07,1.05,74.286
83,7.893269663304793e-07,1.0472,74.857
84,7.122819337828761e-07,1.0415,75.143
85,6.395177052675802e-07,1.0558,74.571
86,5.711060902932049e-07,1.0512,74.571
87,5.071146028642951e-07,1.0379,75.0
88,4.476063948531563e-07,1.0382,74.857
89,3.926401936765844e-07,1.047,75.143
90,3.4227024433899036e-07,1.0347,74.857
91,2.9654625589913263e-07,1.0386,74.714
92,2.5551335241327693e-07,1.051,74.714
93,2.192120284032009e-07,1.052,75.143
94,1.8767810889299096e-07,1.0415,75.286
95,1.6094271405406866e-07,1.0376,75.286
96,1.390322284933351e-07,1.0431,75.286
97,1.2196827521475405e-07,1.0466,75.286
98,1.097676942800558e-07,1.049,75.143
99,1.0244252618962858e-07,1.0337,75.143
