work_package,split_name,split_sha256,git_sha,run_id,arch,recipe_actual,variant,provenance_tag,ckpt_sha256,condition_id,n_images,max_abs_logit_diff_vs_native,mean_abs_logit_diff_vs_native,top1_agreement,mean_abs_delta_nll,max_abs_delta_nll,max_abs_cos_all_diff_hist,phi_L_zero_bit_identical
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.25,2000,0,0,1,0,0,0.06231805682,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.50,2000,0,0,1,0,0,0,1
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_0.75,2000,0,0,1,0,0,0.08951890469,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,term_1.00,2000,0,0,1,0,0,0.184129715,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,term_0.25,2000,0,0,1,0,0,0.07385253906,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,term_0.50,2000,0,0,1,0,0,0,1
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,term_0.75,2000,0,0,1,0,0,0.08143380284,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,term_1.00,2000,0,0,1,0,0,0.1695573628,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.25,2000,0,0,1,0,0,0.06236064434,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.50,2000,0,0,1,0,0,0,1
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.75,2000,0,0,1,0,0,0.06845620275,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_1.00,2000,0,0,1,0,0,0.1511933804,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,term_0.25,2000,0,0,1,0,0,0.04593989253,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,term_0.50,2000,0,0,1,0,0,0,1
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,term_0.75,2000,0,0,1,0,0,0.07601025701,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s2,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,term_1.00,2000,0,0,1,0,0,0.1711509228,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,legacy-mixupdir,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,term_0.25,2000,0,0,1,0,0,0.04080975056,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,legacy-mixupdir,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,term_0.50,2000,0,0,1,0,0,0,1
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,legacy-mixupdir,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,term_0.75,2000,0,0,1,0,0,0.06270113587,MISSING
I2_terminal,calibration,6b707eb39f934274a5ea753d613af54dc9aad01510808f246b70506a96003003,cdf63caca2ac41cfd3ec7ba262902cad0deb3181,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,legacy-mixupdir,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,term_1.00,2000,0,0,1,0,0,0.1362780631,MISSING
