layer_range_label,layer_range,base_run_id,arch,recipe_actual,n_neurons,n_images,top1,top1_drop,outlier_count_canon,outlier_count_mad,outlier_reduction_frac,oversmooth_pairwise,layers_touched,passes,is_chosen_operating_point,canon_tau,ckpt_sha256,source_file,git_sha_at_run,endpoint_class
midlayer,"3,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,8,5000,78.86,0.28,15.2944,14.133,0.2238866561,0.467965369,"4,5,6,8",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr_midlayer\e2r_vits_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,10,5000,78.72,0.42,9.6428,10.985,0.5106767345,0.4510462284,"4,5,6,7,8",True,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr_midlayer\e2r_vits_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,12,5000,78.64,0.5,9.9066,10.8192,0.4972902204,0.4501743036,"4,5,6,7,8,10",False,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr_midlayer\e2r_vits_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,16,5000,78.6,0.54,4.4524,6.5132,0.7740632485,0.4452394716,"4,5,6,7,8,10",True,0,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr_midlayer\e2r_vits_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_mixup_baseline_s1,vit_small,mixup,24,5000,78.72,0.42,1.8994,3.4754,0.9036150692,0.4492216786,"3,4,5,6,7,8,10",True,1,20.8515625,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,results\ttr_midlayer\e2r_vits_mixup_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_nomix_baseline_s1,vit_small,nomix,0,5000,73.14,0,3.7016,3.2846,MISSING,0.1381856863,MISSING,MISSING,0,22.859375,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,results\ttr_midlayer\e2r_vits_nomix_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_nomix_baseline_s1,vit_small,nomix,8,5000,72.94,0.2,2.1552,2.4186,0.4177652907,0.1471610492,11,False,0,22.859375,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,results\ttr_midlayer\e2r_vits_nomix_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_nomix_baseline_s1,vit_small,nomix,10,5000,72.94,0.2,2.1636,2.4184,0.4154960017,0.1483627876,11,False,0,22.859375,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,results\ttr_midlayer\e2r_vits_nomix_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_nomix_baseline_s1,vit_small,nomix,12,5000,72.94,0.2,2.2194,2.455,0.4004214394,0.1462288745,11,False,0,22.859375,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,results\ttr_midlayer\e2r_vits_nomix_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_nomix_baseline_s1,vit_small,nomix,16,5000,72.94,0.2,2.2202,2.3996,0.4002053166,0.1467703659,11,False,0,22.859375,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,results\ttr_midlayer\e2r_vits_nomix_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",e2r_vits_nomix_baseline_s1,vit_small,nomix,24,5000,72.98,0.16,2.1402,2.3564,0.4218175924,0.1491921649,"4,10,11",False,1,22.859375,207a5e907fab6e3bf23abafce51b2bc55687b10ae70e65bf72c84b78fbe63c95,results\ttr_midlayer\e2r_vits_nomix_baseline_s1\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",legacy_vits_baseline,vit_small,mixup,0,5000,79.16,0,15.309,13.8712,MISSING,0.4011086524,MISSING,MISSING,0,20.8515625,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,results\ttr_midlayer\legacy_vits_baseline\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",legacy_vits_baseline,vit_small,mixup,8,5000,78.58,0.58,3.3742,5.6298,0.7795937031,0.3701951569,"4,5,6",True,0,20.8515625,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,results\ttr_midlayer\legacy_vits_baseline\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",legacy_vits_baseline,vit_small,mixup,10,5000,78.82,0.34,4.393,6.5134,0.7130446143,0.3673628061,"4,5,6",True,0,20.8515625,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,results\ttr_midlayer\legacy_vits_baseline\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",legacy_vits_baseline,vit_small,mixup,12,5000,78.62,0.54,3.6898,6.4322,0.7589783787,0.3505267281,"4,5,6",True,0,20.8515625,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,results\ttr_midlayer\legacy_vits_baseline\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",legacy_vits_baseline,vit_small,mixup,16,5000,78.62,0.54,1.43,3.7958,0.9065908942,0.3556687394,"3,4,5,6,10,11",True,0,20.8515625,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,results\ttr_midlayer\legacy_vits_baseline\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
midlayer,"3,12",legacy_vits_baseline,vit_small,mixup,24,5000,78.68,0.48,0.9252,2.13,0.9395649618,0.3421211121,"3,4,5,6,8,9,10,11",True,1,20.8515625,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,results\ttr_midlayer\legacy_vits_baseline\sweep.csv,fa5601e395925f4ff859af50a0a92deb0b5c7a95,descriptive
