path,filename,size_bytes,mtime_iso,sha256,exp,arch,recipe,variant,seed
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V10_CD/best.pth,best.pth,1038971665,2026-04-13T22:56:29.633795+00:00,df589f47139231f05e0810a3f406ff65672715c57f4e3f58eae19dc0a8fc6465,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V10_CD/last.pth,last.pth,1038971665,2026-04-13T22:56:31.349328+00:00,345184816b7a1af1d20acbee8cbb3ba1e75327c1f81b8272a58d57cf7c3c32a0,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V11_ABC/best.pth,best.pth,1039356865,2026-04-12T00:36:05.993340+00:00,168d7db59e834c2165ec27e7aea264d009b5de0075609220f11837e1f4590706,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V11_ABC/last.pth,last.pth,1039356865,2026-04-12T01:50:19.792002+00:00,daa239e36c4a4e9f657015d003a528358ad7db98c339299e0405e5c75280914b,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V12_ABD/best.pth,best.pth,1039353277,2026-04-13T22:12:19.639559+00:00,d7d6c07bcfcb612316996560946bada7d3ec38cc92b37e87b4e421027a80112b,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V12_ABD/last.pth,last.pth,1039353277,2026-04-13T23:37:23.580518+00:00,7f7eb11b4aa023586bf2136f6632ddf349c9436647a86207476a4c97edb4aeae,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V13_ACD/best.pth,best.pth,1039006641,2026-04-14T13:33:55.855630+00:00,86097b61f1f453b762cde762e2f9a30e5a8c8ce6bb0d5b33e30a0a3ee6f6cb23,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V13_ACD/last.pth,last.pth,1039006641,2026-04-14T17:00:27.990685+00:00,83f8d2679af211ec5822f2addf865a53bb3ea38007b8664485156cd290565a4b,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V14_BCD/best.pth,best.pth,1039321825,2026-04-14T18:19:41.167177+00:00,ab6a0b59ccb9e3f4452c5d4bbe48e37f35b41ddf42eb1fe4e530697ae2b4c7df,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V14_BCD/last.pth,last.pth,1039321825,2026-04-14T18:31:39.241713+00:00,12f3c2c8377a3189a01874a2a154543ec3932d4c5eff6526c08403e98e70a27f,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V15_ABCD_full/best.pth,best.pth,1039356865,2026-04-14T17:44:54.598290+00:00,11ccb29f7248a1f0cc1c84134d04593e50910de6bea8a09298acfaf9634a8a8b,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V15_ABCD_full/last.pth,last.pth,1039356865,2026-04-14T19:22:13.078387+00:00,8475586b7cb2507a11206fc6c9683c2647a6cc7480f97a3a27b26a59d001dcda,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V20_gran_head/best.pth,best.pth,1039318301,2026-04-17T06:19:55.416862+00:00,b17571c810072c92b45658994ca24ffd76768a3c12df7cf306ed0ed925ba43c4,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V20_gran_head/last.pth,last.pth,1039318301,2026-04-17T07:40:44.399782+00:00,2781288e46c91f63b7698c61d996ccd25f3d2f753510d23ba52abb859617a93c,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V21_gran_elem/best.pth,best.pth,1039318301,2026-04-17T21:11:23.040834+00:00,0bbe8ebb723adc3349ac210c9600bc27d450d7bcf08eaff4d7ddcd9d51493507,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/checkpoints/e1_variants/V21_gran_elem/last.pth,last.pth,1039318301,2026-04-17T21:19:29.251701+00:00,68b426f45c8230d1f5501ed61b84a037606054b8ce01a983c194e4f4691296c2,e1,,,,
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA/best.pth,best.pth,1039318365,2026-04-26T01:00:35.808873+00:00,bbfbc1d843e819910d68f660bcdb038510b4bf2e4ae8f6428c6a705e7c0e165e,e2,vit_base,mixup,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA/last.pth,last.pth,1039318365,2026-04-25T22:59:48.574378+00:00,c10af1fd55c4c39b44a0be7adc6527e3b0619c9db6a2dc7072d98d9adc9246f5,e2,vit_base,mixup,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA_nomix/best.pth,best.pth,1039318365,2026-05-01T07:50:33.968102+00:00,82456589c91ec3757509bd1d48aa6cf1e8dd51235a1138df6b7e1951181c2ba0,e2,vit_base,nomix,saga,rlast
