work_package,split_name,split_sha256,git_sha,generated_by,run_id,arch,recipe_actual,cell,variant,provenance_tag,ckpt_sha256,condition_id,stage,basis,n_images,n_positions,mass,f_bar,eta2_pos,ci_lo,ci_hi,bootstrap_seed,bootstrap_resamples,status,note
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_base_nomixdir_registers,vit_base,mixup,vit_base|mixup,registers,legacy-nomixdir,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1,native,s11_out,fixed_cal,10000,196,0.0641,0.000327,0.000136,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,vit_base|mixup,saga,legacy-nomixdir,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,native,s11_out,fixed_cal,10000,196,5.0746,0.025891,0.028288,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,vit_small|mixup,baseline,legacy-mixupdir,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,native,s11_out,fixed_cal,10000,196,17.6864,0.090237,0.019203,0.01854,0.02007,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,vit_small|mixup,registers,legacy-mixupdir,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77,native,s11_out,fixed_cal,10000,196,2.3117,0.011794,0.001342,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,vit_small|mixup,saga,legacy-mixupdir,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,native,s11_out,fixed_cal,10000,196,7.5684,0.038614,0.017399,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,vit_small|mixup,baseline,legacy-nomixdir,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,native,s11_out,fixed_cal,10000,196,16.4817,0.08409,0.022893,0.022193,0.023801,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,vit_small|mixup,registers,legacy-nomixdir,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536,native,s11_out,fixed_cal,10000,196,4.107,0.020954,0.001794,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,vit_small|mixup,saga,legacy-nomixdir,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,native,s11_out,fixed_cal,10000,196,9.5107,0.048524,0.022429,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_baseline_s1,vit_base,mixup,vit_base|mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,s11_out,mad,10000,196,14.1443,0.072165,0.035609,0.034753,0.036671,0,10000,complete,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
I1_spatial,val_diag_split,bcb2a4c5a8f5335a71f7abef3c3a5dc028acd4b96aa76177e66360422186f8a5,202a712d9392527cbf2fe99525a42a1d45d01aca,analysis/frozen_I1_spatial.py,e2r_vitb_mixup_saga_s1,vit_base,mixup,vit_base|mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,native,s11_out,mad,10000,196,19.8246,0.101146,0.010996,MISSING,MISSING,0,10000,point estimate only,"Var over the positions (population, ddof=0) divided by f_bar(1-f_bar); CI resamples IMAGES. Computed for baseline maps, the scope the task file gives this table"
