n_neurons,n_images,num_prefix_tokens,top1,top5,sink_fixed_canon,sink_mad_k5,oversmooth_pairwise,sink_reduction_frac,top1_drop,meets_sink,meets_top1,passes,n_layers_touched,layers_touched
0,5000,1,73.14,89.9,3.7016,3.2846,0.13818568633794784,,0.0,,,,0,
8,5000,2,72.94,89.82,2.1552,2.4186,0.14716104917526246,0.4177652906851092,0.20000000000000284,False,True,False,1,11
10,5000,2,72.94,89.82,2.1636,2.4184,0.14836278762817381,0.415496001728982,0.20000000000000284,False,True,False,1,11
12,5000,2,72.94,89.82,2.2194,2.455,0.1462288745164871,0.4004214393775665,0.20000000000000284,False,True,False,1,11
16,5000,2,72.94,89.82,2.2202,2.3996,0.14677036588191986,0.40020531661984005,0.20000000000000284,False,True,False,1,11
24,5000,2,72.98,89.94,2.1402,2.3564,0.14919216493368148,0.4218175923924789,0.1599999999999966,False,True,False,3,"4,10,11"
