epoch,lr,train_loss,val_top1
0,1e-05,4.3536,36.5
1,9.997557473810373e-06,2.9308,60.333
2,9.990232305719946e-06,2.3801,68.0
3,9.978031724785247e-06,2.0942,74.667
4,9.960967771506668e-06,1.9171,76.5
5,9.939057285945934e-06,1.7904,79.333
6,9.912321891107011e-06,1.6884,80.5
7,9.8807879715968e-06,1.6344,80.0
8,9.844486647586724e-06,1.5411,81.167
9,9.80345374410087e-06,1.523,81.0
10,9.757729755661012e-06,1.4728,81.833
11,9.707359806323418e-06,1.4474,82.333
12,9.652393605146846e-06,1.4261,80.833
13,9.592885397135709e-06,1.3755,81.167
14,9.5288939097068e-06,1.3791,82.5
15,9.460482294732423e-06,1.3442,82.167
16,9.387718066217127e-06,1.3333,82.667
17,9.310673033669524e-06,1.3073,81.833
18,9.229423231234978e-06,1.2987,81.167
19,9.144048842659085e-06,1.2844,82.0
20,9.054634122155994e-06,1.2829,82.167
