dataset,arch,variant,kind,ft_seed,n,top1_full,top1_ring1,top1_center44,top1_random44,drop_ring1,drop_center44,drop_random44,contrast_ring1_minus_random44,flag
aircraft,vit_base_patch16_224,saga,significant_2xSE,,3,1,1,1,1,1,1,1,1,
cub,vit_small_patch16_224,baseline,mean,,3,80.87700000000001,79.818,57.300999999999995,77.356,1.059000000000007,23.576000000000004,3.5210000000000057,-2.4619999999999984,
cub,vit_small_patch16_224,baseline,std,,3,0.2390230114445059,0.22180396750283826,0.9152283867975255,0.5606933208091543,0.26122978390681434,0.9901883659183243,0.36870448871690964,0.41750089820262554,
cub,vit_small_patch16_224,baseline,se,,3,0.13800000000000048,0.12805858034509068,0.5284073554875383,0.3237164397019905,0.15082108605894703,0.5716855196113803,0.21287163581213112,0.2410442559641964,
cub,vit_small_patch16_224,baseline,significant_2xSE,,3,1,1,1,1,1,1,1,1,
cub,vit_small_patch16_224,saga,mean,,3,80.51466666666666,79.46166666666666,56.782999999999994,77.028,1.053000000000002,23.731666666666666,3.4866666666666646,-2.4336666666666624,
cub,vit_small_patch16_224,saga,std,,3,0.3543181244776122,0.40182624769088,0.27421342053225634,0.1508409758653113,0.12425377257854198,0.5941601916430714,0.2200961910922868,0.29871446790092215,
cub,vit_small_patch16_224,saga,se,,3,0.20456566454591274,0.2319944922717868,0.15831719215970624,0.08708807802066333,0.07173794904604776,0.3430385465868869,0.12707259517474312,0.17246287845343325,
cub,vit_small_patch16_224,saga,significant_2xSE,,3,1,1,1,1,1,1,1,1,
cub,vit_base_patch16_224,baseline,mean,,3,80.336,79.67433333333332,57.502,77.42466666666667,0.6616666666666712,22.834,2.9113333333333316,-2.2496666666666605,
cub,vit_base_patch16_224,baseline,std,,3,0.67326295011682,0.7372762937551527,0.5505806026368891,0.5317822235965878,0.18439450461803591,0.9077532704430212,0.396093844099266,0.3144905933940414,
cub,vit_base_patch16_224,baseline,se,,3,0.38870854548534767,0.425666666666667,0.3178778591429943,0.30702460994374775,0.10646021687831073,0.5240915950480415,0.2286848875150649,0.18157122875365495,
cub,vit_base_patch16_224,baseline,significant_2xSE,,3,1,1,1,1,1,1,1,1,
cub,vit_base_patch16_224,saga,mean,,3,81.38333333333334,79.663,59.078,78.09233333333334,1.7203333333333337,22.305333333333333,3.290999999999997,-1.570666666666663,
cub,vit_base_patch16_224,saga,std,,3,0.4757839145382411,0.7244287404569216,0.5237251187407392,0.8122470888426341,0.4575263198257925,0.2515041417816695,0.3725734826849613,0.32321870820441606,
cub,vit_base_patch16_224,saga,se,,3,0.2746939711347474,0.41824912831150524,0.30237283828633454,0.4689510753917847,0.2641529439127601,0.1452059839599527,0.2151054005210788,0.18661040818894273,
cub,vit_base_patch16_224,saga,significant_2xSE,,3,1,1,1,1,1,1,1,1,
aircraft,ALL,ALL,mean,,12,73.3095,71.3895,46.56716666666667,64.16866666666667,1.9199999999999993,26.742333333333335,9.140833333333331,-7.220833333333332,
aircraft,ALL,ALL,std,,12,0.7935664605266062,0.7592116126135561,2.3238464913052055,1.3825061784069297,0.4377421407840279,2.5733738495789855,1.5298205975231403,1.2746985977679248,
aircraft,ALL,ALL,se,,12,0.2290829048024473,0.21916551445716326,0.6708366986552139,0.39909515712978083,0.12636527140865078,0.7428690423899854,0.44162116689590963,0.36797378927847496,
aircraft,ALL,ALL,significant_2xSE,,12,1,1,1,1,1,1,1,1,
cub,ALL,ALL,mean,,12,80.77775,79.65425,57.666,77.47525,1.1235000000000035,23.11175,3.3024999999999998,-2.1789999999999963,
cub,ALL,ALL,std,,12,0.5758366442916713,0.5001105559591985,1.0348995559517316,0.6290068831824575,0.4661169381174625,0.8750777757641682,0.38900607613857113,0.47614417220761246,
cub,ALL,ALL,se,,12,0.1662297207955236,0.14436948205380834,0.2987497686064782,0.18157864666375967,0.13455636984798056,0.25261319469965077,0.11229638138750206,0.1374509829985683,
cub,ALL,ALL,significant_2xSE,,12,1,1,1,1,1,1,1,1,
cub_minus_aircraft,ALL,ALL,between_dataset_difference,,12v12,,,,,,,,5.0418333333333365,se=0.3928; |diff|-2se=+4.2562; significant_2xSE=1; UNPAIRED (different images and models); prediction: CUB > Aircraft
