arch,recipe_actual,variant,kind,provenance,n,top1_last,top1_best,sink_fixed_canon,sink_mad_k5,oversmooth_pairwise,oversmooth_pairwise_nosink,eff_rank,cls_norm_ratio_lastblock,cls_attn_share_lastblock
vit_base,mixup,baseline,repeat,legacy-nomixdir,,76.736,76.688,MISSING,10.3115,0.390096,0.397302,89.811981,0.738846,0.24372
vit_base,mixup,baseline,repeat,s1,,77.114,77.144,11.2859,9.5308,0.733151,0.763286,57.079604,0.653107,0.132294
vit_base,mixup,baseline,mean,,2,76.925,76.916,11.2859,9.92115,0.561624,0.580294,73.445793,0.695976,0.188007
vit_base,mixup,baseline,std,,2,0.267286,0.322441,MISSING,0.552038,0.242576,0.25879,23.145286,0.060627,0.07879
vit_base,mixup,registers,repeat,legacy-nomixdir,,76.126,76.31,MISSING,1.331,0.817309,0.819572,75.340905,0.684485,0.134166
vit_base,mixup,registers,mean,,1,76.126,76.31,MISSING,1.331,0.817309,0.819572,75.340905,0.684485,0.134166
vit_base,mixup,registers,std,,1,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
vit_base,mixup,saga,repeat,legacy-nomixdir,,77.46,77.55,MISSING,15.1858,0.301094,0.319186,80.421729,0.868074,0.161802
vit_base,mixup,saga,repeat,s1,,77.266,77.312,4.1812,18.6731,0.323494,0.337788,81.45398,0.962441,0.127566
vit_base,mixup,saga,mean,,2,77.363,77.431,4.1812,16.92945,0.312294,0.328487,80.937855,0.915257,0.144684
vit_base,mixup,saga,std,,2,0.137179,0.168291,MISSING,2.465893,0.015839,0.013154,0.729911,0.066727,0.024209
vit_base,mixup,registers,paired_delta,legacy-nomixdir,,-0.61,-0.378,MISSING,-8.9805,0.427213,0.42227,-14.471076,-0.05436,-0.109554
vit_base,mixup,registers,paired_delta_mean,,1,-0.61,-0.378,MISSING,-8.9805,0.427213,0.42227,-14.471076,-0.05436,-0.109554
vit_base,mixup,registers,paired_delta_se,,1,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
vit_base,mixup,registers,significant_2xSE,,1,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
vit_base,mixup,registers,welch_t,,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
vit_base,mixup,registers,welch_p,,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
vit_base,mixup,saga,paired_delta,legacy-nomixdir,,0.724,0.862,MISSING,4.8743,-0.089002,-0.078116,-9.390252,0.129229,-0.081919
vit_base,mixup,saga,paired_delta,s1,,0.152,0.168,-7.1047,9.1423,-0.409657,-0.425498,24.374375,0.309334,-0.004729
vit_base,mixup,saga,paired_delta_mean,,2,0.438,0.515,-7.1047,7.0083,-0.24933,-0.251807,7.492062,0.219281,-0.043324
vit_base,mixup,saga,paired_delta_se,,2,0.286,0.347,MISSING,2.134,0.160327,0.173691,16.882314,0.090053,0.038595
vit_base,mixup,saga,significant_2xSE,,2,0,0,MISSING,1,0,0,0,1,0
vit_base,mixup,saga,welch_t,,,2.0618,2.0024,MISSING,3.9222,-1.4505,-1.3743,0.4575,3.4397,-0.7433
vit_base,mixup,saga,welch_p,,,0.2169,0.2231,MISSING,0.1411,0.3828,0.3996,0.7267,0.0761,0.5765
