epoch,lr,train_loss,val_top1_full,val_top5_full,val_loss,img_per_sec,wall_time
90,0.00078985,3.5948,70.71,90.176,1.2887,7942.9,161.3
91,0.00078557,3.6226,70.61,90.23,1.2828,7929.3,161.6
92,0.00078126,3.5729,70.598,90.258,1.3125,7939.6,161.3
93,0.00077692,3.5689,70.77,90.208,1.273,7949.5,161.1
94,0.00077255,3.5803,70.942,90.258,1.2961,7936.9,161.4
95,0.00076815,3.5851,71.18,90.374,1.2812,7914.8,161.9
96,0.00076372,3.5477,71.072,90.308,1.2855,7931.6,161.5
97,0.00075926,3.5988,71.266,90.43,1.2803,7928.1,161.6
98,0.00075477,3.57,71.274,90.504,1.299,7941.4,161.3
99,0.00075025,3.5419,71.118,90.34,1.3069,7931.1,161.5
100,0.00074571,3.5403,70.914,90.34,1.2851,7930.5,161.5
101,0.00074114,3.5399,71.406,90.534,1.2667,7924.3,161.7
102,0.00073654,3.5263,71.7,90.728,1.2633,7937.7,161.4
103,0.00073192,3.5487,71.178,90.47,1.2762,7929.9,161.5
104,0.00072727,3.5631,71.364,90.492,1.2986,7949.2,161.2
105,0.0007226,3.5218,71.52,90.788,1.2724,7936.6,161.4
106,0.0007179,3.5476,71.742,90.976,1.2815,7917.6,161.8
107,0.00071318,3.5143,71.608,90.784,1.2365,7928.8,161.6
108,0.00070844,3.5034,71.578,90.664,1.2545,7942.5,161.3
109,0.00070367,3.5185,72.062,91.02,1.2128,7925.6,161.6
110,0.00069888,3.4915,71.946,90.8,1.2376,7923.3,161.7
111,0.00069407,3.4779,71.798,90.774,1.2492,7927.2,161.6
112,0.00068924,3.4983,72.208,90.922,1.2617,7947.6,161.2
113,0.00068438,3.4819,71.64,90.968,1.2506,7947.6,161.2
114,0.00067951,3.4935,71.776,90.826,1.2571,7936.2,161.4
115,0.00067462,3.5069,72.382,91.084,1.2354,7922.1,161.7
116,0.0006697,3.4525,72.518,91.32,1.2006,7928.7,161.6
117,0.00066477,3.4921,72.532,91.266,1.2349,7923.8,161.7
118,0.00065982,3.4966,72.16,91.13,1.2461,7934.6,161.4
119,0.00065486,3.4772,72.432,91.236,1.2306,7931.9,161.5
120,0.00064987,3.4159,72.42,91.094,1.2192,7932.3,161.5
121,0.00064488,3.4729,72.754,91.322,1.2189,7935.8,161.4
122,0.00063986,3.4557,73.04,91.354,1.2002,7902.2,162.1
123,0.00063483,3.4904,72.732,91.288,1.2246,7869.7,162.8
124,0.00062978,3.4434,72.65,91.17,1.2149,7908.4,162.0
125,0.00062472,3.4481,72.78,91.396,1.2085,7922.2,161.7
126,0.00061965,3.4186,73.058,91.558,1.1663,7917.2,161.8
127,0.00061457,3.3766,73.054,91.532,1.1922,7925.5,161.6
128,0.00060947,3.4146,73.032,91.418,1.1895,7927.9,161.6
129,0.00060436,3.4303,73.08,91.49,1.1759,7891.3,162.3
130,0.00059923,3.4092,73.13,91.624,1.2157,7924.3,161.7
131,0.0005941,3.3964,73.002,91.52,1.1908,7902.6,162.1
132,0.00058896,3.4102,73.052,91.636,1.1679,7928.9,161.6
133,0.00058381,3.4309,73.536,91.666,1.1755,7905.5,162.0
134,0.00057864,3.3941,73.512,91.708,1.1645,7886.8,162.4
135,0.00057347,3.4179,73.648,91.802,1.1468,7926.3,161.6
136,0.00056829,3.3803,73.466,91.646,1.1753,7913.2,161.9
137,0.00056311,3.3684,73.872,92.05,1.1713,7927.1,161.6
138,0.00055792,3.3804,73.62,91.824,1.1611,7939.7,161.3
139,0.00055272,3.3807,73.658,91.818,1.1702,7932.8,161.5
140,0.00054751,3.3496,73.808,91.838,1.1533,7936.6,161.4
141,0.0005423,3.3559,73.59,91.94,1.1961,7916.0,161.8
142,0.00053709,3.3782,73.896,92.014,1.1558,7941.4,161.3
143,0.00053187,3.3656,73.848,92.068,1.1645,7918.1,161.8
144,0.00052665,3.3568,74.028,92.056,1.1509,7927.0,161.6
145,0.00052142,3.3383,74.322,92.23,1.1132,7938.1,161.4
146,0.00051619,3.3562,74.064,92.164,1.1667,7904.5,162.1
147,0.00051096,3.3483,74.338,92.206,1.1427,7929.0,161.6
148,0.00050573,3.3306,74.406,92.32,1.1168,7931.5,161.5
149,0.0005005,3.3278,74.316,91.994,1.1451,7950.0,161.1
150,0.00049527,3.3573,74.552,92.422,1.1254,7955.5,161.0
151,0.00049004,3.29,74.272,92.188,1.1496,7929.4,161.6
152,0.00048481,3.348,74.464,92.408,1.1178,7918.6,161.8
153,0.00047959,3.3008,74.342,92.186,1.1202,7925.6,161.6
154,0.00047436,3.3047,74.248,92.348,1.1408,7949.8,161.1
155,0.00046914,3.2842,74.412,92.336,1.1207,7911.3,161.9
156,0.00046392,3.2996,74.7,92.48,1.1061,7800.6,164.2
157,0.00045871,3.2742,74.502,92.334,1.1191,7925.8,161.6
158,0.0004535,3.2838,74.92,92.474,1.1073,7919.5,161.8
159,0.00044829,3.2935,74.942,92.47,1.1068,7927.9,161.6
160,0.00044309,3.2759,74.774,92.542,1.1084,7945.0,161.2
161,0.0004379,3.2802,74.974,92.562,1.104,7933.1,161.5
162,0.00043271,3.2567,75.104,92.736,1.082,7934.0,161.5
163,0.00042754,3.2407,75.228,92.698,1.0939,7942.5,161.3
164,0.00042237,3.2763,75.036,92.63,1.0891,7923.9,161.7
165,0.0004172,3.2643,75.128,92.688,1.0892,7928.7,161.6
166,0.00041205,3.2829,75.152,92.608,1.0906,7937.0,161.4
167,0.00040691,3.2258,75.238,92.712,1.0869,7930.4,161.5
168,0.00040177,3.2377,75.304,92.814,1.0982,7925.7,161.6
169,0.00039665,3.2119,74.95,92.69,1.0831,7929.8,161.5
170,0.00039154,3.2229,75.618,92.844,1.0661,7940.5,161.3
171,0.00038644,3.2501,75.35,92.648,1.1049,7943.9,161.3
172,0.00038136,3.1987,75.574,92.86,1.0603,7933.3,161.5
173,0.00037628,3.2415,75.622,92.922,1.076,7937.9,161.4
174,0.00037122,3.1983,75.574,92.972,1.0735,7930.2,161.5
175,0.00036618,3.2075,75.528,92.872,1.1039,7918.4,161.8
176,0.00036115,3.1918,75.554,92.938,1.0689,7924.1,161.7
177,0.00035613,3.1884,75.832,93.094,1.0659,7939.3,161.4
178,0.00035113,3.2146,75.838,93.07,1.0614,7925.8,161.6
179,0.00034615,3.182,75.92,92.98,1.0683,7912.3,161.9
180,0.00034118,3.1638,75.972,93.108,1.0531,7929.5,161.6
181,0.00033624,3.1878,75.956,93.084,1.0587,7936.0,161.4
182,0.0003313,3.1436,76.32,93.204,1.0568,7943.4,161.3
183,0.00032639,3.1574,76.258,93.05,1.0384,7928.9,161.6
184,0.0003215,3.1368,76.004,93.166,1.0532,7941.7,161.3
185,0.00031663,3.1434,76.364,93.208,1.0408,7942.0,161.3
186,0.00031177,3.1371,76.304,93.234,1.0462,7937.7,161.4
187,0.00030694,3.1531,76.248,93.18,1.0377,7956.0,161.0
188,0.00030213,3.1265,76.182,93.266,1.0692,7944.7,161.2
189,0.00029734,3.1199,76.662,93.38,1.03,7941.8,161.3
190,0.00029257,3.1243,76.702,93.344,1.0279,7940.4,161.3
191,0.00028783,3.1406,76.398,93.308,1.0127,7956.1,161.0
192,0.00028311,3.1316,76.574,93.338,1.0324,7937.0,161.4
193,0.00027841,3.1107,76.536,93.12,1.0377,7936.6,161.4
194,0.00027374,3.0996,76.926,93.33,1.0317,7944.5,161.2
195,0.00026909,3.0885,76.648,93.356,1.0321,7943.6,161.3
196,0.00026446,3.0733,76.636,93.404,1.0478,7933.4,161.5
197,0.00025987,3.0831,76.756,93.364,1.0288,7940.3,161.3
198,0.0002553,3.0952,76.762,93.412,1.0237,7956.4,161.0
199,0.00025075,3.0785,76.74,93.476,1.0421,7928.7,161.6
200,0.00024624,3.0643,76.776,93.52,1.0197,7925.3,161.6
201,0.00024175,3.0657,76.838,93.496,1.0141,7925.3,161.6
202,0.00023729,3.0495,77.06,93.59,1.0208,7944.3,161.3
203,0.00023286,3.0495,77.11,93.544,1.0127,7944.8,161.2
204,0.00022846,3.0494,76.958,93.48,1.016,7949.6,161.1
205,0.00022408,3.0429,77.176,93.6,1.0059,7943.3,161.3
206,0.00021974,3.035,77.346,93.636,0.9938,7951.1,161.1
207,0.00021543,3.0144,77.29,93.666,0.9999,7956.8,161.0
208,0.00021115,3.0228,77.204,93.722,1.0082,7941.4,161.3
209,0.0002069,3.0125,77.21,93.714,0.996,7933.6,161.5
210,0.00020269,3.0377,77.31,93.718,0.9909,7944.9,161.2
211,0.00019851,3.0009,77.486,93.824,0.9975,7937.9,161.4
212,0.00019436,3.0095,77.066,93.642,1.0337,7939.2,161.4
213,0.00019024,2.9881,77.43,93.838,0.9891,7940.8,161.3
214,0.00018616,2.9822,77.606,93.828,0.9984,7941.3,161.3
215,0.00018211,3.0128,77.482,93.946,0.9902,7940.3,161.3
216,0.0001781,2.9754,77.738,93.96,0.9879,7932.2,161.5
217,0.00017412,2.9799,77.632,93.878,0.9936,7952.2,161.1
218,0.00017018,2.9763,77.72,94.042,0.9746,7933.9,161.5
219,0.00016627,2.9723,77.812,93.894,0.9873,7956.4,161.0
220,0.0001624,2.9638,78.034,94.046,0.9797,7939.3,161.4
221,0.00015857,2.9429,77.916,93.952,0.9838,7942.5,161.3
222,0.00015478,2.9728,77.83,94.074,0.9591,7935.3,161.4
223,0.00015102,2.9259,77.934,93.926,0.97,7944.6,161.2
